id	smiles	MQN	Emol	Ekat	HOMO	LUMO	I	n
mol1	CC1NC(NC(C)=O)=NC1C	[7, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 11, 5, 1, 0, 4, 1, 0, 0, 5, 4, 2, 2, 0, 0, 4, 1, 1, 0, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-513,5024821	-513,2257269	-0,1741	-0,04214	0,2767552	4,59
mol2	CC(O)C1(CN)OC1(C)C#C	[8, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 11, 7, 0, 1, 3, 0, 0, 2, 5, 3, 3, 2, 0, 0, 5, 2, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	-517,1781885	-516,881307	-0,19526	-0,02296	0,2968815	5,11
mol3	CC1C2(C)C(N)COCOC12C#C	[10, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 13, 4, 0, 1, 9, 0, 0, 0, 5, 3, 2, 1, 0, 0, 4, 1, 0, 0, 4, 2, 2, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1]	-594,4813259	-594,1979977	-0,19543	-0,00674	0,2833282	4,96
mol4	CN(C)C=O	[3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 5, 3, 1, 0, 0, 0, 0, 1, 3, 2, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	-248,2261208	-247,898932	-0,20275	-0,00784	0,3271888	6,04
mol5	CCC1(O)CCC2NCC3C2OC13	[10, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 13, 3, 0, 0, 12, 0, 0, 1, 5, 3, 2, 2, 0, 0, 2, 1, 0, 0, 5, 4, 1, 0, 1, 1, 0, 1, 0, 0, 0, 5, 4]	-595,7546637	-595,4810668	-0,17067	0,01497	0,2735969	5,33
mol6	CC(=O)CC1CC2CCC1NC2=O	[10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 13, 3, 2, 0, 9, 0, 0, 2, 5, 3, 1, 1, 0, 0, 3, 1, 1, 0, 4, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 8, 9]	-594,6508808	-594,3646502	-0,18632	-0,0572	0,2862306	4,48
mol7	CC1=CC2=C(C(O)C(NO)=N2)N1N	[7, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 13, 5, 0, 0, 6, 3, 0, 0, 8, 6, 5, 4, 0, 0, 4, 1, 0, 0, 2, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1]	-641,4229563	-641,1749543	-0,15653	-0,05449	0,248002	3,88
mol8	O1C=CC=C1	[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 3, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-229,7684909	-229,4467835	-0,19883	-0,02	0,3217074	5,78
mol9	CN=C1N(C)C=NCC2=C1C=NO2	[8, 0, 0, 0, 0, 0, 0, 1, 3, 0, 1, 13, 2, 1, 0, 8, 3, 0, 0, 6, 5, 0, 0, 0, 0, 2, 1, 0, 0, 6, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1]	-604,3610772	-604,0633691	-0,20731	-0,06715	0,2977081	4,37
mol10	CC1CCC2C(C#N)N3CC=CC123	[11, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 13, 2, 0, 1, 11, 1, 0, 0, 2, 2, 0, 0, 0, 0, 2, 1, 0, 0, 5, 4, 1, 0, 1, 2, 0, 0, 0, 0, 0, 3, 2]	-536,4074484	-536,1131739	-0,19399	-0,03245	0,2942745	4,93
