id	smiles	Carbon	Cyclic nitrogen	Heavy atoms	Acyclic double bonds	Cyclic single bonds	Cyclic double bonds	H-bond acceptor sites	H-bond acceptor atoms	Cyclic divalent nodes	Cyclic trivalent nodes	n
mol1	CC1NC(NC(C)=O)=NC1C	7	2	11	1	4	1	5	4	2	3	4.59
mol2	CC(O)C1(CN)OC1(C)C#C	8	0	11	0	3	0	5	3	1	0	5.11
mol3	CC1C2(C)C(N)COCOC12C#C	10	0	13	0	9	0	5	3	4	2	4.96
mol4	CN(C)C=O	3	0	5	1	0	0	3	2	0	0	6.04
mol5	CCC1(O)CCC2NCC3C2OC13	10	1	13	0	12	0	5	3	5	4	5.33
mol6	CC(=O)CC1CC2CCC1NC2=O	10	1	13	2	9	0	5	3	4	4	4.48
mol7	CC1=CC2=C(C(O)C(NO)=N2)N1N	7	2	13	0	6	3	8	6	2	6	3.88
mol8	O1C=CC=C1	4	0	5	0	3	2	2	1	5	0	5.78
mol9	CN=C1N(C)C=NCC2=C1C=NO2	8	3	13	1	8	3	6	5	6	4	4.37
mol10	CC1CCC2C(C#N)N3CC=CC123	11	1	13	0	11	1	2	2	5	4	4.93
mol11	CC=C1CC(=NN)C2(CC2C)O1	9	0	12	2	8	0	4	3	3	3	4.24
mol12	CC(CN)(NCC#CC=C)C(N)=O	9	0	13	2	0	0	5	4	0	0	4.05
mol13	CC1OC1C1CCC1C=NN=C	9	0	12	2	7	0	4	3	3	4	4.17
mol14	CC1CC2(CC2N)C(=O)NN=CO1	8	2	13	1	10	1	7	5	6	3	4.28
mol15	CCCNC	4	0	5	0	0	0	1	1	0	0	6.56
mol16	CC1NC1C(N)C1CNC(C)C1O	9	2	13	0	8	0	5	4	3	5	5.17
mol17	CC1C2C(C)CC34CC5C(N5C3)C124	12	1	13	0	15	0	1	1	3	6	5.73
mol18	CC1OC2C3C4CCC2(C4)NC13C	11	1	13	0	14	0	3	2	5	4	2.57
mol19	CC1CC2C(C#C)C2(C)C(=N)N1O	10	1	13	1	8	0	4	3	1	5	4.36
mol20	CCNC1C=CC(CC1C)C#C	11	0	12	0	5	1	1	1	3	3	4.78
mol21	CC(O)C(CO)C1NCC1C=NN	8	1	13	1	4	0	7	5	2	2	4.61
mol22	CCC12NCCOCC3OC1C2O3	9	1	13	0	13	0	7	4	7	3	5.12
mol23	CCN=CNC1CCC=CC1	9	0	11	1	5	1	2	2	5	1	4.77
mol24	CC12CCCC3(N)C1C1CC3CC21	12	0	13	0	14	0	1	1	5	4	4.79
mol25	CC1=NC2(CN)C3CCC(N1)C23	9	2	12	0	10	1	3	3	4	4	4.87
mol26	CC1C2CN(CC#N)C3C=CC2C13	11	1	13	0	10	1	2	2	3	6	4.70
mol27	O=C1C2CNC2CC11OCC=C1	9	1	12	1	12	1	5	3	7	3	4.02
mol28	NC1COC1	3	0	5	0	4	0	3	2	3	1	6.28
mol29	CN1CC1(C)C(=O)CN(O)C(C)=N	8	1	13	2	3	0	7	5	1	1	4.08
mol30	CC1N=CNC(C)(C#N)C1(C)O	8	2	12	0	5	1	5	4	3	1	5.27
mol31	CC1OC1C	4	0	5	0	3	0	2	1	1	2	7.39
mol32	C1C2OC3C1C=NOCOC3CO2	8	1	13	0	14	1	9	5	9	4	3.07
mol33	CNCC1(COC2(CC2C)O1)C=O	9	0	13	1	8	0	7	4	4	1	4.01
mol34	CC(=O)CC(=CC1=CCCC1)C#N	11	0	13	2	4	1	3	2	4	1	3.87
mol35	CNC1=CN=C(CC=O)N1C=O	7	2	12	2	3	2	7	5	2	3	3.88
mol36	CC1=NOCC1=CC1CCC1C#N	10	1	13	1	8	1	4	3	5	4	4.11
mol37	NNC1=NC(C=C)C=CC(=O)N1	7	2	12	2	5	2	6	5	4	3	4.23
mol38	CC#CC1=CN(N=C1)C(=C)CCO	10	2	13	1	3	2	4	3	3	2	3.93
mol39	CCNCC	4	0	5	0	0	0	1	1	0	0	6.48
mol40	CC(=CC=NN)N1CC=CCC1=O	9	1	13	3	5	1	5	4	4	2	3.84
mol41	CCCN(N)C(=N)C=C1CCCN1	9	1	13	2	5	0	4	4	4	1	4.32
mol42	CC=C	3	0	3	1	0	0	0	0	0	0	6.38
mol43	CNCC1(CCN1)C(C=C)=CC#N	10	1	13	2	4	0	3	3	3	0	3.80
mol44	CNC1(C)COCC(CC1C)=NO	9	0	13	1	7	0	6	4	4	2	4.65
mol45	CC1CN=C(CC2CC2O)NC1=O	9	2	13	1	8	1	6	4	4	5	4.55
mol46	CC#CC1=CC2=C(NC(N2)=NO)N1	8	3	13	1	5	4	6	5	4	4	3.74
mol47	CC1=CCC2(O)C(N)C(C)(C)C2C1	11	0	13	0	8	1	3	2	3	3	4.85
mol48	CC(C)N1NC(=N)C2CCCC1C2	10	2	13	1	10	0	3	3	5	4	4.79
mol49	CC#CC12CCC1NCC2	9	1	10	0	8	0	1	1	5	1	5.43
mol50	CNC1=C(C=O)N=CN1C=CC=C	9	2	13	3	3	2	5	4	2	3	3.77
mol51	CN1C2C3ON=CC(C=CC23)C1=O	9	2	13	1	11	2	6	4	5	6	4.39
mol52	CC1CCC(=O)C(C#N)C11COC1	10	0	13	1	10	0	5	3	5	3	4.53
mol53	CC1OC=CCC2C=CN(C=O)C12	10	1	13	1	9	2	5	3	6	4	4.07
mol54	CC1OC2CC2(CN)C1COC=C	10	0	13	1	7	0	5	3	2	3	4.80
mol55	CCC(C)N	4	0	5	0	0	0	1	1	0	0	6.78
mol56	CC1CN2N=C(C=C12)C(CO)C=C	10	2	13	1	6	2	4	3	3	4	4.96
mol57	CC1(N)CC2C3C2C1C1COC3O1	10	0	13	0	14	0	5	3	4	6	5.34
