id	smiles	Carbon	Fluorine	Chlorine	Bromine	Iodine	Sulfur	Phosphorous	Acyclic nitrogen	Cyclic nitrogen	Acyclic oxygen	Cyclic oxygen	Heavy atoms	Acyclic single bonds	Acyclic double bonds	Acyclic triple bonds	Cyclic single bonds	Cyclic double bonds	Cyclic triple bonds	Rotable bonds	H-bond acceptor sites	H-bond acceptor atoms	H-bond donor sites	H-bond donor atoms	Negative charges	Positive charges	Acyclic single valent nodes	Acyclic divalent nodes	Acyclic trivalent nodes	Acyclic tetravalent nodes	Cyclic divalent nodes	Cyclic trivalent nodes	Cyclic tetravalent nodes	3-membered rings	4-membered rings	5-membered rings	6-membered rings	7-membered rings	8-membered rings	9-membered rings	>= 10-membered rings	nodes shared by >= 2 rings	edges shared by >= 2 rings	n
mol175	C#C	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85
mol403	CCC	3	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7
mol171	CCO	2	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	2	1	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.54
mol417	CCCC	4	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.45
mol31	CC1OC1C	4	0	0	0	0	0	0	0	0	0	1	5	2	0	0	3	0	0	0	2	1	0	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	7.39
mol415	COC	2	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33
mol4574	CC1C2C3CN1C3C=CC2=NO	9	0	0	0	0	0	0	1	1	1	0	12	2	1	0	10	1	0	0	4	3	1	1	0	0	2	1	0	0	3	6	0	0	1	2	1	0	0	0	0	6	7	7.33
mol133	CCCO	3	0	0	0	0	0	0	0	0	1	0	4	3	0	0	0	0	0	1	2	1	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.24
mol2670	CC12CNCC3(N)C1OC2C3(C)O	9	0	0	0	0	0	0	1	1	1	1	13	4	0	0	11	0	0	0	6	4	4	3	0	0	4	0	0	0	4	2	3	0	1	2	1	0	0	0	0	6	7	7.2
mol3574	CC1(C)CC11COCC(=C)C1O	10	0	0	0	0	0	0	0	0	1	1	12	3	1	0	9	0	0	0	4	2	1	1	0	0	4	0	0	0	4	2	2	1	0	0	1	0	0	0	0	1	0	7.18
mol174	CC(C)CO	4	0	0	0	0	0	0	0	0	1	0	5	4	0	0	0	0	0	1	2	1	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.95
mol3457	CC=C1COC2C3C(NCC2C)C13	11	0	0	0	0	0	0	0	1	0	1	13	2	1	0	12	0	0	0	3	2	1	1	0	0	2	1	0	0	4	6	0	1	0	0	2	0	0	0	0	4	3	6.89
mol183	CC1COC1	4	0	0	0	0	0	0	0	0	0	1	5	1	0	0	4	0	0	0	2	1	0	0	0	0	1	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	6.81
mol55	CCC(C)N	4	0	0	0	0	0	0	1	0	0	0	5	4	0	0	0	0	0	1	1	1	2	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.78
mol157	CNC	2	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	1	1	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.75
mol160	CC#CC	4	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67
mol290	NC1CC1	3	0	0	0	0	0	0	1	0	0	0	4	1	0	0	3	0	0	0	1	1	2	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	6.62
mol3659	CC1(NC2C3C2C2=NNC3C12)C#C	10	0	0	0	0	0	0	0	3	0	0	13	2	0	1	12	1	0	0	3	3	2	2	0	0	2	1	0	0	3	6	1	1	0	2	2	0	0	0	0	8	10	6.57
mol15	CCCNC	4	0	0	0	0	0	0	1	0	0	0	5	4	0	0	0	0	0	2	1	1	1	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56
mol473	CCC(N)=O	3	0	0	0	0	0	0	1	0	1	0	5	3	1	0	0	0	0	1	3	2	2	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52
mol39	CCNCC	4	0	0	0	0	0	0	1	0	0	0	5	4	0	0	0	0	0	2	1	1	1	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48
mol476	CC(O)CN	3	0	0	0	0	0	0	1	0	1	0	5	4	0	0	0	0	0	1	3	2	3	2	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44
mol98	CC1CCN1	4	0	0	0	0	0	0	0	1	0	0	5	1	0	0	4	0	0	0	1	1	1	1	0	0	1	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	6.4
mol446	OCCC#C	4	0	0	0	0	0	0	0	0	1	0	5	3	0	1	0	0	0	1	2	1	1	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.39
mol42	CC=C	3	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.38
mol422	OCC1CN1	3	0	0	0	0	0	0	0	1	1	0	5	2	0	0	3	0	0	1	3	2	2	2	0	0	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	6.37
